OTU,X39,X41,X42,X44,X45,X46,X47,X48,X49,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X63,X64,X65,X66
419eb2c90e01528631641c4af4aa447c,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
00a44769e8059e243d0b9ab4b7680eb1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351e82fbc05e5d17cee7f40aaf0edef6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1aaf80288f08656a2118d057cd3a66e6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2793dac9dc4bff5fd21478a02485b7a,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
da33bcd29a2b8094c55c9b5e279e0425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
a1593ef95b53c5c0154f84552f1f33a7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
81e64579101d8536c046a5c54f81df6a,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
34ee2bb981ca421709478ee98bd67644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
2128f85caf490689681d33c5c28cac9a,0,18,0,0,15,11,0,0,0,0,0,0,8,0,13,0,12,0,12,0,0,0,0,0
4e54d6d09c4139dbb30b6ce963b4607c,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
b61807a542fc3032d9f60f0c3f13e0c6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
65396608fc2cdaf8908904f6f86a6158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
acaaefe532bdfda62209da684b490837,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fd0efb542dad1397749afb7cb4d77d61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
feabe3b1e29a51fc8144b7248d262bd8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
591ca52801171076b40431f17c19779e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
5a37d80241ef4ced5a78535415c2fa75,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
5ee575adcb06021287ad0f7e0b6fc04a,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4de7df86b0a14bbfcde7e848206d4573,0,13,0,0,12,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3e4f2fae38fbe58c18d6dca2e1a8c9b2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
180978d39c23d4f9e1e48ac1bdb66b3f,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0e2c3218f8d3c263dd55b218f82bfa80,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a105f8366415ef5ff234257c11352bb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
730c81cabf3e176cca2415f20cbf23a7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
6041f42e697c0704edbcdacb1b89aad5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
8ab171a242ac89364ab66f3d455f1928,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f668c4fc3bf0236939e9055ad1feb311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ad4d5b26f5ccd14121226adae9c5c685,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
730bb9fed86dd4abff17ba05623f89ea,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
15f1af55dc95ed0c949d283f84e5289e,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
