OTU,S110_L001,S111_L001,S112_L001,S113_L001,S114_L001,S115_L001,S116_L001,S117_L001,S118_L001,S119_L001,S120_L001,S121_L001,S122_L001
87efc4ff493afdb40bd2110cdb2150108d8085db,0,0,2,1,3,5,10,7,2,4,2,3,3
9a434c071438ee4d478d039c73e9528eded75c51,0,0,4,3,4,7,6,6,6,1,1,1,3
cbc758698c7a410f859dc4c61b0e42d2b68617fb,0,0,7,2,0,10,4,6,2,2,2,5,2
d488bafe261d92fc2edbadcd655785fd6d3e9fd4,0,0,3,4,0,9,11,2,4,6,0,3,0
d6032531d8e66784b2aeeebc4d79eff411b513c7,0,0,6,0,1,15,6,7,0,2,1,1,3
d97749e9a581c8fa6ebbdd0c23f1e95e26403ae7,1,0,2,2,1,8,8,4,1,7,1,2,5
dd3be69693b0d47bc640566c2c38db8b80281eaf,0,0,4,2,0,10,8,6,2,3,2,1,4
e245741e3c1e95e8952bf3b947d87981616c813c,0,0,1,3,0,12,6,7,5,4,3,1,0
2008d286a3d6e7702be90d627731f06bc5934df6,0,0,4,1,2,9,14,6,2,0,0,0,3
43bb48268a8d5a3321db2cb5de791475881c0801,0,0,1,6,0,5,14,6,2,1,3,0,3
48f34a90d9ea3261d8350a70cee5ac3fbe56c5ee,0,0,2,2,0,19,4,4,4,1,1,2,2
4ce01c9b7b8e01b0109d3e0f30321d93df0bbc3a,0,0,1,2,0,11,7,9,3,5,0,3,0
58ba9afccf53034094fe6b05eaaa1a5e0b2e4c4a,0,0,0,6,5,8,6,9,0,1,1,1,4
5face80fbb82a8f59340407d6ccd97ec455c4bb4,0,0,2,2,0,11,8,8,3,1,1,2,3
615686cf90f85b5959810324430f754dc9f5cefd,1,0,0,3,2,16,4,6,1,3,3,2,0
66aba1b68a83f4f2b4316f08fc53d20368944c74,0,0,2,4,2,6,6,10,0,3,0,4,4
66c5097428666fdb43f826d94fa36cf76a30242f,0,0,4,6,0,7,6,8,3,2,1,2,2
7de848b6303dfeb163b90fa1cf86ec5807db004e,0,0,2,2,0,10,4,8,0,5,6,2,2
9528185b74630856f2b6daebccc12f9246a22619,0,0,2,3,0,15,10,7,3,1,0,0,0
9585cf703cfd045610acd4f2eb82a6e1b27adc06,0,0,4,4,0,7,8,5,4,2,3,1,3
a39a9e903e5cb456c75599a6b248e7066b565b00,0,0,2,6,1,21,4,5,0,2,0,0,0
b151d3d5b87be0d120fac374f5cc0436de1e2b9c,0,0,4,1,0,13,6,7,2,3,2,1,2
b728b282a4ac7a42ea0a58832bdadf8b57615dde,1,0,3,6,0,8,6,9,4,2,0,2,0
c7348fe1fa280fd677feccbf5c9f73e2737efff3,0,0,6,2,2,8,5,5,3,8,1,1,0
d1adff2a2f8accb6ab1abb893eeb1676109866f5,0,0,2,3,2,8,8,12,1,0,1,1,3
fbf6d4e7bc056cf16ae4d8293fea59a14caafacb,0,0,2,3,0,14,7,11,1,0,0,2,1
00d44a50b0e7b2340f46c53b4318696bf7fcf428,0,0,5,1,1,14,2,7,2,1,6,0,1
08cd2535c1457b8eaf5acfeea5562a80c7f4fc1d,0,0,2,5,1,18,4,4,0,2,0,3,1
0a58b605a356b5f661a810410fbc2b8f466f87ee,0,0,2,1,1,9,2,3,4,10,2,3,3
1ed766f7c0164e1ca11e6715e0b4c5ec92a576bd,0,0,2,5,1,11,2,9,2,2,1,5,0
39791c13eab1505553c3e49f8eccd909ec6f809f,0,0,4,4,0,13,7,3,2,0,2,4,1
4e00ec2f67076a7773857e53d13a427f3b179f52,0,0,4,0,0,17,4,10,2,1,0,1,1
58e9775e81f040ae7a0ae985b10de52091925358,0,0,4,2,2,11,7,5,2,3,1,1,2
64c3592ac6eab90d198776798254f545fdc72930,0,0,5,2,0,16,4,1,2,3,1,5,1
6c134733e16ed61681de04b90ddb75583edb68e7,0,0,3,2,1,10,7,4,3,5,3,1,1
923c84633f89ce209739cbe0a2446510fd56e078,0,0,1,4,2,7,9,9,2,0,2,0,4
dc779d449a6d23778d439d99cad53f3f275f3864,0,0,3,2,0,9,9,5,0,6,1,0,5
e366473025515d672b8f62b92a9536ee121b32d5,1,0,0,5,2,6,6,11,0,3,1,2,3
f5cd5b6d3d79593dce56b052b954e142b1ae0d55,0,0,4,1,0,11,2,15,0,2,0,2,3
04ecb200c00796e8fbe4faf13f7b71bbf24a2e85,0,0,3,6,1,9,7,2,3,0,2,6,0
344939470e4b08f25012bec994de3f31cd8eed7d,0,0,3,3,0,11,6,6,0,4,1,2,3
3e6c14a1de38230eca8537c414a2bb6fdadb7277,1,0,1,3,2,10,9,5,2,1,0,3,2
5c5f2d2c741ac83da38d3d7f34c98d0da207e0b5,0,0,5,4,0,11,5,6,0,0,0,4,4
