OTU,NEF_AtlasMXB_B01_2025,NEF_AtlasMXB_B02_2025,NEF_AtlasMXB_B03_2025,NEF_AtlasMXB_B04_2025,NEF_AtlasMXB_B05_2025,NEF_AtlasMXB_B06_2025,NEF_AtlasMXB_B07_2025,NEF_AtlasMXB_B08_2025,NEF_AtlasMXB_B09_2025,NEF_AtlasMXB_B10_2025,NEF_AtlasMXB_B11_2025,NEF_AtlasMXB_B12_2025,NEF_AtlasMXB_B13_2025,NEF_AtlasMXB_B14_2025,NEF_AtlasMXB_B15_2025,NEF_AtlasMXB_B16_2025,NEF_AtlasMXB_B17_2025,NEF_AtlasMXB_B18_2025,NEF_AtlasMXB_B19_2025,NEF_AtlasMXB_B20_2025,NEF_AtlasMXB_B21_2025,NEF_AtlasMXB_B22_2025,NEF_AtlasMXB_B23_2025,NEF_AtlasMXB_B24_2025,NEF_AtlasMXB_B33_2025,NEF_AtlasMXB_B34_2025,NEF_AtlasMXB_B35_2025,NEF_AtlasMXB_B39_2025,NEF_AtlasMXB_B40_2025,NEF_AtlasMXB_B41_2025,NEF_AtlasMXB_B42_2025,NEF_AtlasMXB_B43_2025,NEF_AtlasMXB_B44_2025,NEF_AtlasMXB_B45_2025,NEF_AtlasMXB_B46_2025,NEF_AtlasMXB_B47_2025,NEF_AtlasMXB_B48_2025,NEF_AtlasMXB_B49_2025,NEF_AtlasMXB_B50_2025,NEF_AtlasMXB_B51_2025,NEF_AtlasMXB_B52_2025,NEF_AtlasMXB_B53_2025,NEF_AtlasMXB_B54_2025,NEF_AtlasMXB_B55_2025,NEF_AtlasMXB_B56_2025,NEF_AtlasMXB_B57_2025,NEF_AtlasMXB_B58_2025,NEF_AtlasMXB_B59_2025,NEF_AtlasMXB_B60_2025,NEF_AtlasMXB_B61_2025,NEF_AtlasMXB_B62_2025,NEF_AtlasMXB_B63_2025,NEF_AtlasMXB_B64_2025,NEF_AtlasMXB_B65_2025,NEF_AtlasMXB_B66_2025,NEF_AtlasMXB_B67_2025,NEF_AtlasMXB_B68_2025,NEF_AtlasMXB_B69_2025,NEF_AtlasMXB_B70_2025,NEF_AtlasMXB_B71_2025,NEF_AtlasMXB_B72_2025,NEF_AtlasMXB_B73_2025,NEF_AtlasMXB_B74_2025,NEF_AtlasMXB_B75_2025,NEF_AtlasMXB_B76_2025,NEF_AtlasMXB_B77_2025,NEF_AtlasMXB_B78_2025,NEF_AtlasMXB_B79_2025,NEF_AtlasMXB_B80_2025,NEF_AtlasMXB_B81_2025,NEF_AtlasMXB_B82_2025,NEF_AtlasMXB_B83_2025,NEF_AtlasMXB_B84_2025,NEF_AtlasMXB_B85_2025,NEF_AtlasMXB_B86_2025,NEF_AtlasMXB_B87_2025,NEF_AtlasMXB_B88_2025
Minimedusa_1,0,0,0,0,0,0,191,11,2,39,0,6,0,0,0,0,49,0,4,19,12,3329,0,0,0,68,319,0,345,0,0,98,0,0,64,0,8,0,102,0,5,0,6,324,0,6,0,0,0,0,354,0,33,0,0,252,108,2325,14,1976,545,1989,0,19,44,5,1122,435,0,73,174,102,17,0,63,0,0
Russula_puellaris_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,0,0,0,0,0,4246,0,735,0,0,0,0,0,0,0,6,133,0,5185,0,715,1,630,221,75,0,0,0,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Podila_verticillata_1,0,0,0,0,0,0,0,7,0,0,30,0,0,0,0,0,8,0,0,0,0,0,713,1036,869,297,0,118,274,199,58,227,2043,138,151,971,23,465,12,994,6,7,55,125,1260,638,181,17,331,0,0,0,0,0,197,0,0,0,0,1855,963,0,121,0,0,0,0,0,0,44,0,0,0,0,0,23,72
Linnemannia_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,383,15,6,340,0,112,83,17,15,3910,8,80,285,17,10,1595,58,1817,9,37,0,409,1205,1320,5,38,72,0,0,0,0,0,0,196,20,1,0,587,1803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exophiala_1,0,89,180,7,0,0,317,425,47,48,125,90,193,368,0,0,605,0,4,5,17,330,39,146,158,560,295,186,337,158,313,289,467,143,334,101,127,158,243,20,151,82,0,505,254,461,73,243,110,49,478,0,105,253,215,405,534,432,31,205,696,441,7,209,12,67,513,225,0,0,146,155,0,0,78,0,206
Metarhizium_carneum_1,0,0,0,0,0,0,171,0,22,29,58,4,46,71,0,0,195,0,0,67,2,465,10,2,0,151,155,145,708,208,234,1662,0,226,166,21,165,192,209,513,472,173,0,147,344,1467,38,255,4,98,339,255,154,120,628,67,46,272,0,494,1461,129,0,100,0,89,412,40,0,0,8,65,0,0,2,0,0
Linnemannia_3,0,0,0,0,0,14,113,0,8,5,3,0,66,49,0,0,2,0,0,1,2,50,0,0,0,2,125,0,0,0,0,0,0,19,0,0,2,0,284,0,90,55,19,0,0,0,0,0,0,0,0,0,0,9,17,628,214,9,4,0,9,27,3335,3100,26,93,9,0,474,2718,268,73,6,0,498,0,820
Podila_1,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,162,3,0,36,0,0,62,49,22,14,0,166,40,91,99,27,501,94,96,186,10,131,762,251,58,25,276,117,364,90,131,0,36,0,0,0,0,0,132,1683,545,75,736,66,432,154,186,3270,0,0,0,42,0,385,0,0,132,0,0,218,1235
Hygrocybe_2,0,0,0,0,0,0,0,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4055,0,0,0,0,0,118,209,0,16,10,18,0,5,0,0,0,2308,6,255,221,0,233,0,302,1045,4175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russula_4,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,602,0,0,9731,0,12,0,0,729,0,0,0,0,0,0,0,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
